,date,frequency_score
0,2020-03-04,46
1,2020-03-05,47
2,2020-03-06,48
3,2020-03-07,55
4,2020-03-08,55
5,2020-03-09,48
6,2020-03-10,47
7,2020-03-11,41
8,2020-03-12,38
9,2020-03-13,40
10,2020-03-14,48
11,2020-03-15,48
12,2020-03-16,39
13,2020-03-17,39
14,2020-03-18,41
15,2020-03-19,38
16,2020-03-20,36
17,2020-03-21,44
18,2020-03-22,40
19,2020-03-23,34
20,2020-03-24,31
21,2020-03-25,33
22,2020-03-26,34
23,2020-03-27,33
24,2020-03-28,37
25,2020-03-29,37
26,2020-03-30,33
27,2020-03-31,35
28,2020-04-01,32
29,2020-04-02,32
30,2020-04-03,34
31,2020-04-04,36
32,2020-04-05,36
33,2020-04-06,34
34,2020-04-07,33
35,2020-04-08,35
36,2020-04-09,34
37,2020-04-10,37
38,2020-04-11,37
39,2020-04-12,36
40,2020-04-13,36
41,2020-04-14,32
42,2020-04-15,33
43,2020-04-16,33
44,2020-04-17,33
45,2020-04-18,40
46,2020-04-19,40
47,2020-04-20,34
48,2020-04-21,33
49,2020-04-22,33
50,2020-04-23,36
51,2020-04-24,40
52,2020-04-25,42
53,2020-04-26,41
54,2020-04-27,34
55,2020-04-28,35
56,2020-04-29,36
57,2020-04-30,37
58,2020-05-01,38
59,2020-05-02,47
60,2020-05-03,48
61,2020-05-04,43
62,2020-05-05,41
63,2020-05-06,42
64,2020-05-07,40
65,2020-05-08,42
66,2020-05-09,49
67,2020-05-10,47
68,2020-05-11,44
69,2020-05-12,43
70,2020-05-13,45
71,2020-05-14,51
72,2020-05-15,55
73,2020-05-16,67
74,2020-05-17,59
75,2020-05-18,62
76,2020-05-19,55
77,2020-05-20,54
78,2020-05-21,53
79,2020-05-22,59
80,2020-05-23,72
81,2020-05-24,100
82,2020-05-25,83
